Subject,Predicate,Fuzzy,Object
US1,Defines,0.57,以便拍摄出清晰、震撼的航拍照片和视频
US2,Defines,0.67,便在火灾现场进行空中侦查和监测火势的蔓延情况。
US3,Defines,0.93,便进行精确的植保喷洒工作，帮助防治农田病虫害。
US4,Defines,0.94,帮助检测电线杆的损坏和缺陷，并及时进行维修。
US5,Defines,0.71,便实时监测交通拥堵情况，并及时采取交通疏导措施。
US6,Defines,0.82,便在旅行中拍摄到壮丽的风景照片和视频。
US7,Defines,0.74,帮助进行地质勘探和勘察矿藏资源的工作。
US8,Defines,0.99,便进行搜救行动，并及时发现被困人员的位置。
US9,Defines,0.97,帮助检测建筑物外墙的损坏和结构安全性。
US10,Defines,0.5,便绘制出准确的地形地貌图和测量数据。
US11,Defines,0.54,帮助监测并预警地震、洪水等自然灾害的发生。
US12,Defines,0.43,便实时报道重大新闻事件和现场情况。
US13,Defines,0.37,帮助进行地质构造的勘探和研究工作。
US14,Defines,0.09,便收集和分析环境污染物的数据。
US15,Defines,0.22,帮助检测农田的作物生长情况和病虫害情况。
US16,Defines,0.13,帮助调查海洋生态系统和海底地貌。
US17,Defines,0.12,帮助收集和分析气象数据，提供准确的天气预报信息。
US18,Defines,0.01,帮助生成精确的城市地理信息和规划模型。
US19,Defines,0.76,便在海面上进行搜索和救援行动，并快速定位被困人员的位置。
US20,Defines,0.68,帮助监测森林火灾的风险和蔓延情况。
US21,Defines,0.07,便进行飞行器的性能测试和飞行控制系统的优化。
US22,Defines,0.38,帮助观测和研究海洋生物。
US23,Defines,0.43,便收集污染物的样本进行分析。
US25,Defines,0.3,辅助规划设计工作。
US26,Defines,0.1,提高安全监控的效果和范围。
US27,Defines,0.57,帮助实施精准农业管理。
US28,Defines,0.53,帮助检测电力设备的异常和隐患。
US29,Defines,0.1,帮助监测和应对海上油污事件。
US30,Defines,0.8,帮助研究和预测风暴的发展和路径。
US31,Defines,0.31,加强对海上安全的监控和巡逻。
US32,Defines,0.02,帮助快速评估地震损害情况。
US33,Defines,0.59,帮助及早发现和控制森林火灾。
US34,Defines,0.1,辅助城市巡逻和犯罪侦查工作。
US35,Defines,0.06,帮助监测和管理渔业资源。
US36,Defines,0.84,辅助环境保护工作。
US37,Defines,0.85,帮助监测和保护野生动物。
US38,Defines,0.48,便进行农作物的生长状况和营养需求分析。
US39,Defines,0.25,帮助监测水体质量和水生态系统的健康状况。
US41,Defines,0.88,帮助监测生态系统的变化和演化。
US42,Defines,0.35,帮助研究和管理海洋渔业资源。
US43,Defines,0.63,帮助监测和预警洪水灾害。
US44,Defines,0.58,帮助勘探和研究地下资源。
US45,Defines,0.3,帮助评估道路拥堵和优化交通规划。
US46,Defines,0.7,帮助及早控制森林火灾。
US47,Defines,0.93,帮助生成精确的建筑物模型和测量数据。
US48,Defines,0.81,帮助预警和救援工作。
US49,Defines,0.79,帮助监测和保护海洋生态系统的健康状况。
US50,Defines,0.55,帮助设计和评估城市景观项目。
US51,Defines,0.45,帮助监测和评估环境污染的程度。
US52,Defines,0.63,帮助生成精确的地图和地理数据。
US53,Defines,0.33,帮助评估农作物的损失和赔偿。
US54,Defines,0.51,帮助收集海洋气象数据和预测海洋天气变化。
US55,Defines,0.33,帮助监控港口安全和识别可疑活动。
US56,Defines,0.62,帮助检测电力设备的故障和热点。
US57,Defines,0.37,帮助监测和保护野生动物种群。
US58,Defines,0.64,帮助生成详细的城市地图和规划模型。
US59,Defines,0.05,帮助搜索和救援被困人员。
US60,Defines,0.81,帮助收集和分析环境中的气体和颗粒物。
US61,Defines,0.23,帮助监测交通流量和优化交通信号控制。
US62,Defines,0.12,帮助观测和研究海洋生物及其栖息地。
US63,Defines,0.49,辅助城市安全监控和事件应对。
US64,Defines,0.77,帮助实施精准农业和合理施肥。
US65,Defines,0.09,帮助检测电力设备的异常和故障。
US66,Defines,0.27,帮助收集海洋气象数据和研究气候变化。
US67,Defines,0.08,帮助监控船舶交通和维护港口安全。
US68,Defines,0.57,帮助监测和评估环境污染的程度和来源。
US69,Defines,0.46,帮助监测和保护水体的质量和生态系统。
US70,Defines,0.35,拍摄出精美的航拍照片和视频。
US71,Defines,0.59,帮助监测和保护野生动物物种。
US72,Defines,0.38,帮助生成精确的建筑物模型和测量数据。
US73,Defines,0.1,便快速、高效地运送重量较大的物品和货物。
US74,Defines,0.02,便进行农田的精准喷洒农药和肥料。
US75,Defines,0.28,搭载科学仪器和设备，帮助进行野生动物的研究和监测工作。
US76,Defines,0.4,便在灾害和紧急情况下进行救援和物资投送。
US77,Defines,0.1,帮助在高处进行建筑施工和维修。
US78,Defines,0.12,便拍摄高质量的航拍照片和影片。
US79,Defines,0.46,帮助进行地质勘探和研究工作。
US80,Defines,0.15,帮助进行海洋科学研究和监测。
US81,Defines,0.05,帮助进行电力设备的安装和维护工作。
US82,Defines,0.29,帮助监测环境污染和采集环境数据。
US83,Defines,0.58,搭载侦察设备和通信设备，帮助进行军事侦察和通信任务。
US84,Defines,0.73,便在火灾现场进行灭火和救援工作。
US85,Defines,0.06,帮助进行农田的数据采集和分析。
US86,Defines,0.68,帮助进行采矿作业和资源勘探。
US87,Defines,0.7,搭载航道标志设备和测量设备，帮助进行航道维护和测量工作。
US88,Defines,0.61,帮助进行农田的精确灌溉和水资源管理。
US89,Defines,0.89,帮助进行地质灾害的监测和预警工作。
US90,Defines,0.51,帮助进行海洋资源调查和研究。
US91,Defines,0.98,搭载城市监控设备和传感器，帮助进行城市安全监测和管理工作。
US92,Defines,0.42,帮助进行建筑设计和结构分析工作。
US93,Defines,0.51,帮助检测电力设备的异常和故障。
US94,Defines,0.09,帮助监测和评估环境污染情况。
US95,Defines,0.61,帮助进行海洋工程勘测和建设工作。
US96,Defines,0.16,便准确地找到目的地并完成货物的送达任务。
US97,Defines,0.85,帮助生成精确的地图和地形数据。
US98,Defines,0.15,拍摄旅行途中的美景照片和视频。
US101,Defines,0.4,监测交通流量和道路状况。
US103,Defines,0.79,辅助进行地质勘探和资源调查。
US105,Defines,0.4,帮助进行建筑工地的监督和安全检查。
US110,Defines,0.76,进行故障排查和维修工作。
US113,Defines,0.85,实现农田的精准灌溉和水资源的合理利用。
US114,Defines,0.34,提高救援效率和准确性。
US116,Defines,0.31,帮助检测电力设备的状态和安全隐患。
US117,Defines,0.81,帮助保护环境和人民健康。
US118,Defines,0.31,辅助城市景观规划和设计工作。
US119,Defines,0.2,帮助合理利用和保护水资源。
航空摄影师,Proposes,0.71,我希望无人机能够稳定飞行，并具备高分辨率摄像功能
航空摄影师,Proposes,0.12,我希望无人机能够进行高空摄影，并具备稳定飞行和高分辨率摄像功能
航空摄影师,Proposes,0.5,我需要能够远程遥控无人机的飞行和摄影功能
航空摄影师,Proposes,0.45,我需要无人机能够搭载专业摄像设备，拍摄出震撼人心的航空摄影作品。
消防员,Proposes,0.42,我希望无人机具备快速起飞和灵活机动的能力
消防员,Proposes,0.93,我希望无人机能够搭载灭火设备和救生器材，具备足够的载荷能力
消防员,Proposes,0.68,我希望无人机能够自主导航并按照预设的路径进行火场侦查和救援工作。
消防员,Proposes,0.11,我希望能够远程遥控无人机的飞行和火场监测功能
消防员,Proposes,0.72,我希望无人机具备高度稳定的飞行控制系统
消防员,Proposes,0.84,我需要无人机配备紧急救援设备投放系统
消防员,Proposes,0.83,我希望无人机的救援装备投放系统具备高可靠性和精准性
农民,Proposes,0.86,我希望无人机能够高空飞行
农民,Proposes,0.2,我希望无人机的电池寿命能够长久并具备可靠的充电和更换系统
电力巡检员,Proposes,0.33,我需要无人机能够在复杂的电力线路中飞行
电力巡检员,Proposes,0.55,我希望无人机能够飞越高压输电线路，并搭载红外热成像仪
电力巡检员,Proposes,0.67,我需要无人机能够在高压输电线路上飞行，并具备红外热成像功能
电力巡检员,Proposes,0.66,我需要无人机能够搭载红外热成像仪和电力检测设备，具备较大的载荷能力
电力巡检员,Proposes,0.25,我需要无人机能够根据预设的巡检路线自主飞行，并完成对电力设备的检查和记录。
电力巡检员,Proposes,0.95,我希望能够远程遥控无人机的飞行和检测功能
电力巡检员,Proposes,0.44,我希望无人机的红外热成像和电力检测设备具备高可靠性
交通管理员,Proposes,0.7,我希望无人机能够高空飞行，并具备高清摄像功能
交通管理员,Proposes,0.51,我需要无人机能够自主导航并按照预设的路径巡航
交通管理员,Proposes,0.75,我希望无人机具备危险物品识别和警示功能
旅行摄影爱好者,Proposes,0.91,我希望无人机具备长飞行时间和稳定的飞行控制
地质勘探工程师,Proposes,0.54,我需要无人机具备高精度定位和悬停能力
地质勘探工程师,Proposes,0.3,我需要无人机具备远程控制和自主飞行能力
地质勘探工程师,Proposes,0.99,我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。
地质勘探工程师,Proposes,0.23,我希望无人机能够在复杂地形中飞行，并搭载地质雷达
地质勘探工程师,Proposes,0.78,我需要无人机能够搭载地质勘探设备，具备足够的载荷能力
地质勘探工程师,Proposes,0.53,我需要无人机能够根据预设的勘探路径自主导航
地质勘探工程师,Proposes,0.34,我需要能够远程遥控无人机的飞行和勘探功能
救援队员,Proposes,0.74,我希望无人机能够在恶劣环境下飞行
建筑检测员,Proposes,0.86,我需要无人机具备高空飞行和高分辨率摄像功能
地理勘测员,Proposes,0.61,我希望无人机能够进行精确的测量和制图工作
地理勘测员,Proposes,0.68,我希望无人机能够进行地形测量，并搭载全球定位系统
地理勘测员,Proposes,0.24,我需要无人机能够自主导航并按照预定路径完成航拍任务
自然灾害预警员,Proposes,0.26,我需要无人机能够快速起飞和高空巡航
新闻记者,Proposes,0.49,我希望无人机能够高空飞行，并搭载实时直播摄像功能
新闻记者,Proposes,0.48,我需要无人机具备实时摄像功能
环境保护志愿者,Proposes,0.94,我希望无人机能够高空飞行并具备空气采样功能
农业技术顾问,Proposes,0.05,我需要无人机能够低空飞行并具备热成像摄像功能
海洋调查员,Proposes,0.1,我希望无人机能够在海面上飞行，并具备水下摄像功能
气象学研究员,Proposes,0.98,我需要无人机能够高空飞行并具备气象传感器
城市规划师,Proposes,0.18,我希望无人机能够高空飞行并具备三维建模功能
城市规划师,Proposes,0.13,我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型
城市规划师,Proposes,0.71,我希望无人机能够进行空中测绘，并搭载高分辨率摄像功能
城市规划师,Proposes,0.5,我需要无人机能够自主导航并根据预设的规划范围进行空中测绘和规划分析。
城市规划师,Proposes,0.17,我需要无人机能够自主导航并根据预设的区域进行城市发展和用地规划的空中勘测和测量工作。
城市规划师,Proposes,0.96,我希望无人机能够自主导航并根据预设的区域进行城市土地利用和用地评估的空中勘测工作。
城市规划师,Proposes,0.49,我需要能够远程遥控无人机的飞行和城市规划勘测功能
城市规划师,Proposes,0.81,我希望无人机能够拍摄城市规划和城市发展的航拍影像
城市规划师,Proposes,0.33,我希望无人机的续航能力能够支持长时间的航拍勘测
城市规划师,Proposes,0.59,我希望无人机的遥感和测绘设备具备高可靠性
海上救援人员,Proposes,0.85,我需要无人机具备远程控制和自主飞行能力
海上救援人员,Proposes,0.58,我希望无人机能够自主导航并根据事故区域进行搜索和救援任务
森林管理员,Proposes,0.23,我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能
航空工程师,Proposes,0.05,我需要无人机具备高度保持和稳定飞行的能力
海洋生物学家,Proposes,0.17,我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能
环境监测员,Proposes,0.06,我需要无人机能够在污染区域飞行，并搭载空气采样器
环境监测员,Proposes,0.42,我需要无人机能够在污染源周围飞行，并搭载气体传感器
环境监测员,Proposes,0.66,我需要无人机能够自主导航并根据预设的区域进行空气质量和污染物监测
环境监测员,Proposes,0.48,我需要无人机具备较长的续航能力
环境监测员,Proposes,0.1,我需要无人机的传感器和数据采集系统具备高可靠性
安保人员,Proposes,0.08,我希望无人机能够巡航并监控重要场所，具备夜视摄像功能
安保人员,Proposes,0.89,我需要无人机配备高清摄像设备和实时传输功能
农田管理者,Proposes,0.36,我需要无人机能够低空飞行，并具备作物识别和成长监测功能
农田管理者,Proposes,0.09,我希望无人机能够进行植物生长监测，并搭载多光谱传感器
农田管理者,Proposes,0.2,我希望无人机能够自主导航并根据预设的区域进行农作物的生长监测和土壤肥力评估工作。
农田管理者,Proposes,0.45,我希望能够远程遥控无人机的飞行和植物喷洒功能
海上油田工程师,Proposes,0.76,我需要无人机能够在海上飞行，并具备油污检测功能
气象学家,Proposes,0.98,我希望无人机能够在风暴中飞行，并搭载风速测量仪器
船舶巡逻员,Proposes,0.84,我需要无人机能够在海面上飞行，并具备船舶识别和监测功能
船舶巡逻员,Proposes,0.81,我希望无人机能够自主导航并根据预设的航线进行海上巡逻和海事监管工作。
地震工程师,Proposes,0.54,我希望无人机能够在地震灾区飞行，并具备地震监测传感器
林业保护员,Proposes,0.37,我需要无人机能够飞越茂密的森林，并具备火点探测功能
城市巡逻警察,Proposes,0.37,我希望无人机能够在城市中飞行，并具备高清摄像功能
城市巡逻警察,Proposes,0.88,我希望无人机能够自主导航并根据预设的巡逻路径进行城市安全监控和犯罪预防。
城市巡逻警察,Proposes,0.89,我需要能够远程遥控无人机的飞行和城市安全监控功能
渔业资源管理者,Proposes,0.98,我需要无人机能够在海面上飞行，并搭载鱼群探测仪器
环境保护官员,Proposes,0.15,我希望无人机能够在污染区域飞行，并具备空气采样和污染源定位功能
环境保护官员,Proposes,0.46,我希望无人机能够在污染源周围飞行，并搭载空气采样器
环境保护官员,Proposes,0.46,我需要无人机能够自主导航并根据预设的区域进行野生动植物保护和栖息地监测工作。
环境保护官员,Proposes,0.3,我需要能够远程遥控无人机的飞行和环境监测功能
环境保护官员,Proposes,0.71,我希望无人机具备防水和防尘性能
野生动物保护员,Proposes,0.07,我需要无人机能够在野生动物栖息地飞行，并搭载红外热成像仪
野生动物保护员,Proposes,0.59,我需要无人机能够在野生动物栖息地飞行，并搭载红外热成像功能
野生动物保护员,Proposes,0.12,我希望能够远程遥控无人机的飞行和野生动物监测功能
野生动物保护员,Proposes,0.88,我需要能够远程遥控无人机的飞行和野生动物监测功能
野生动物保护员,Proposes,0.04,我需要无人机的动物跟踪和监测设备具备高可靠性
农业科学家,Proposes,0.59,我希望无人机能够进行农田植被测量，并搭载多光谱传感器
农业科学家,Proposes,0.9,我需要无人机能够搭载农业传感器和采样设备，具备较大的载荷能力
农业科学家,Proposes,0.94,我希望无人机能够自主导航并根据预设的农田边界进行作物生长监测和病虫害防治工作。
农业科学家,Proposes,0.36,我需要能够远程遥控无人机的飞行和作物监测功能
农业科学家,Proposes,0.93,我需要无人机能够拍摄农田和农作物的高清照片
农业科学家,Proposes,0.8,我需要无人机的农作物监测和喷洒设备具备高可靠性
水资源管理者,Proposes,0.12,我需要无人机能够在水域上飞行，并具备水质监测仪器
水资源管理者,Proposes,0.43,我需要无人机能够自主导航并根据预设的区域进行水质监测和水资源调查
水资源管理者,Proposes,0.72,我希望能够远程遥控无人机的飞行和水质监测功能
水资源管理者,Proposes,0.58,我需要能够远程遥控无人机的飞行和水质监测功能。
水资源管理者,Proposes,0.77,我需要能够远程遥控无人机的飞行和水质监测功能
航空器维修员,Proposes,0.86,我希望无人机能够自动进行巡检，并通过高清摄像功能帮助检测飞机表面的损伤和结构问题。
环境生态学家,Proposes,0.5,我需要无人机能够在复杂的自然环境中飞行，并具备多光谱成像功能
海洋渔业研究员,Proposes,0.83,我希望无人机能够在海上飞行，并搭载渔群探测仪器
海洋渔业研究员,Proposes,0.73,我需要无人机能够自主导航并根据预设的渔场进行鱼群调查和渔业资源评估工作。
海洋渔业研究员,Proposes,0.15,我希望能够远程遥控无人机的飞行和渔业资源调查功能
防汛抗洪人员,Proposes,0.08,我需要无人机能够在洪水区域飞行，并具备红外热成像功能
城市交通规划师,Proposes,0.57,我需要无人机能够在城市道路上飞行，并具备交通流量监测功能
森林防火人员,Proposes,0.86,我希望无人机能够在森林中飞行，并具备火点探测功能和高压水枪
森林防火人员,Proposes,0.63,我需要无人机能够自主导航并根据预设的区域进行森林火灾监测和预警工作。
森林防火人员,Proposes,0.18,我需要无人机具备较长的续航能力
建筑工程师,Proposes,1,我需要无人机能够进行建筑物测量，并搭载激光测距仪
建筑工程师,Proposes,0.6,我希望无人机能够进行建筑物测量，并搭载激光扫描仪
建筑工程师,Proposes,0.79,我需要无人机能够搭载建筑材料和工具，具备足够的载荷能力
建筑工程师,Proposes,0.09,我需要能够远程遥控无人机的飞行和建筑材料运输功能
地质灾害预警员,Proposes,0.79,我希望无人机能够在灾害区域飞行，并具备地质雷达和热成像摄像功能
地质灾害预警员,Proposes,0.91,我需要无人机能够自主导航并根据预设的区域进行地质灾害监测和预警工作。
地质灾害预警员,Proposes,0.57,我希望无人机的地质监测和预警设备具备高可靠性
海洋生态保护员,Proposes,0.17,我需要无人机能够在海上飞行，并搭载水下摄像功能
海洋生态保护员,Proposes,0.55,我希望无人机能够自主导航并根据预设的海域进行海洋生态系统的监测和保护工作。
海洋生态保护员,Proposes,0.18,我需要能够远程遥控无人机的飞行和海洋生态监测功能
城市景观设计师,Proposes,0.65,我希望无人机能够进行空中摄影测量，并搭载高分辨率摄像功能
城市景观设计师,Proposes,0.09,我希望无人机能够自主导航并根据预设的路径进行航拍和摄影
农业保险调查员,Proposes,0.96,我需要无人机能够低空飞行，并具备高分辨率摄像功能
海洋气象学家,Proposes,0.49,我希望无人机能够在海面上飞行，并搭载气象传感器
海洋气象学家,Proposes,0.55,我希望无人机能够自主导航并根据预设的航线进行海洋气象观测和天气预报工作。
港口安全人员,Proposes,0.17,我需要无人机能够在港口区域飞行，并具备高清摄像功能
港口安全人员,Proposes,0.45,我需要无人机能够自主导航并根据预设的航线进行港口安全监测和船舶巡逻工作。
电力设备维修员,Proposes,0.63,我希望无人机能够飞越高压输电线路，并搭载红外热成像仪
野生动物保护志愿者,Proposes,0.81,我需要无人机能够在野生动物栖息地飞行，并具备红外热成像功能
野生动物保护志愿者,Proposes,0.86,我希望无人机能够自主导航并根据预设的区域进行野生动物保护和监测工作。
灾害救援人员,Proposes,0.35,我需要无人机能够在灾区飞行，并具备红外热成像功能
灾害救援人员,Proposes,0.12,我希望无人机能够自主导航并根据事故场景进行救援和灾害评估工作。
环境研究员,Proposes,0.65,我希望无人机能够在复杂的环境中飞行，并具备空气采样功能
交通管理者,Proposes,0.35,我需要无人机能够在道路上空飞行，并具备交通监测功能
海洋生物研究员,Proposes,0.85,我希望无人机能够在海上飞行，并搭载水下摄像功能
海洋生物研究员,Proposes,0.87,我需要无人机能够自主导航并根据预设的区域进行海洋生物的观测和研究工作。
海洋生物研究员,Proposes,0.16,我需要能够远程遥控无人机的飞行和海洋观测功能
城市安全管理者,Proposes,0.71,我需要无人机能够在城市区域飞行，并具备高清摄像功能
海洋气候学家,Proposes,0.57,我希望无人机能够在海面上飞行，并搭载气象传感器
海洋气候学家,Proposes,0.3,我需要能够远程遥控无人机的飞行和气象观测功能
港口管理者,Proposes,0.12,我需要无人机能够在港口区域飞行，并具备船舶识别功能
港口管理者,Proposes,0.32,我希望能够远程遥控无人机的飞行和船舶监测功能
物流经理,Proposes,0.36,我需要无人机具备较大的载荷能力
农业工作者,Proposes,0.36,我希望无人机能够搭载喷洒设备，具备足够的载荷能力
农业工作者,Proposes,0.3,我希望无人机能够根据预设的农田边界自主飞行，并进行农作物的生长监测和管理。
野生动物研究员,Proposes,0.44,我需要无人机具备足够的载荷能力
救援人员,Proposes,0.33,我希望无人机能够搭载救生设备和物资，具备较大的载荷能力
救援人员,Proposes,0.73,我需要能够远程遥控无人机的飞行和携带救援设备的能力
摄影师,Proposes,0.47,我希望无人机能够搭载专业摄影设备，具备足够的载荷能力
海洋研究员,Proposes,0.5,我希望无人机能够搭载海洋观测设备和探测器，具备较大的载荷能力
海洋研究员,Proposes,0.3,我希望无人机能够自主导航并按照预设的航线进行海洋观测和数据收集。
电力工程师,Proposes,0.21,我需要无人机能够搭载电力设备和工具，具备足够的载荷能力
电力工程师,Proposes,0.42,我需要无人机能够自主导航并根据预设的线路进行电力设备的巡检和维护工作。
电力工程师,Proposes,0.17,我希望能够远程遥控无人机的飞行和电力巡检功能
电力工程师,Proposes,0.86,我需要能够远程遥控无人机的飞行和电力设备检修功能
环境保护人员,Proposes,0.58,我希望无人机能够搭载环境监测设备，具备足够的载荷能力
环境保护人员,Proposes,0.75,我希望无人机能够自主导航并根据预设的区域进行环境监测和采样工作。
环境保护人员,Proposes,0.33,我需要无人机能够自主导航并根据预设的区域进行野生动物保护和栖息地监测工作。
环境保护人员,Proposes,0.97,我希望能够远程遥控无人机的飞行和环境监测功能
军事人员,Proposes,0.14,我需要无人机具备较大的载荷能力
军事人员,Proposes,0.27,我希望能够远程遥控无人机的飞行和侦察功能
军事人员,Proposes,0.92,我需要无人机具备加密和抗干扰的通信系统
军事人员,Proposes,0.58,我需要无人机的通信和数据链路系统具备高度可靠性和抗干扰能力
采矿工程师,Proposes,0.56,我希望无人机能够搭载采矿设备和工具，具备足够的载荷能力
采矿工程师,Proposes,0.07,我希望无人机能够自主导航并根据预设的路径进行矿区勘测和资源调查工作。
港口工作人员,Proposes,0.69,我需要无人机具备较大的载荷能力
农田灌溉工程师,Proposes,0.87,我希望无人机能够搭载灌溉设备和传感器，具备足够的载荷能力
农田灌溉工程师,Proposes,0.74,我需要无人机能够根据预设的农田边界和灌溉需求自主飞行
农田灌溉工程师,Proposes,0.38,我希望无人机能够根据预设的农田边界自主飞行，并进行农田的精准灌溉和水资源的合理利用。
农田灌溉工程师,Proposes,0.49,我需要能够远程遥控无人机的飞行和灌溉调控功能
地质勘测工程师,Proposes,0.95,我需要无人机能够搭载地震勘测设备和传感器，具备足够的载荷能力
地质勘测工程师,Proposes,0.28,我希望无人机能够自主导航并根据预设的地质勘测线路进行地下资源的勘探和评估工作。
地质勘测工程师,Proposes,0.05,我希望能够远程遥控无人机的飞行和地质勘测功能
海洋资源研究员,Proposes,0.08,我希望无人机能够搭载海洋生物采样设备和海洋底质采集器，具备较大的载荷能力
海洋资源研究员,Proposes,0.42,我希望能够远程遥控无人机的飞行和海洋生物采样功能
城市管理人员,Proposes,0.34,我需要无人机具备较大的载荷能力
建筑设计师,Proposes,0.89,我希望无人机能够搭载建筑结构模拟器和测量设备，具备足够的载荷能力
建筑设计师,Proposes,0.31,我希望无人机能够自主导航并根据预设的区域进行建筑物的立面测量和模型生成工作。
建筑设计师,Proposes,0.16,我需要能够远程遥控无人机的飞行和建筑结构测量功能
建筑设计师,Proposes,0.01,我希望能够远程遥控无人机的飞行和建筑结构测量功能
环境监察员,Proposes,0.15,我希望无人机能够搭载空气质量监测仪器和噪音检测设备，具备足够的载荷能力
环境监察员,Proposes,0.09,我需要无人机能够自主导航并根据预设的区域进行环境污染和废物排放的监测和取证工作。
环境监察员,Proposes,0.96,我需要能够远程遥控无人机的飞行和环境监测功能
环境监察员,Proposes,0.53,我希望无人机的环境采样和监测设备具备高可靠性
海洋工程师,Proposes,0.75,我需要无人机能够搭载海洋观测设备和海底探测器，具备较大的载荷能力
物流配送员,Proposes,0.07,我希望无人机具备自主导航能力
物流配送员,Proposes,0.09,我需要无人机具备较长的续航能力
旅行者,Proposes,0.2,我希望无人机能够根据预设的导航点自主飞行
护林员,Proposes,0.57,我希望无人机能够自主导航，并按照预设的巡逻范围进行森林监测和火灾预警。
建筑监理员,Proposes,0.88,我需要无人机能够自主导航并按照预设的巡检路线飞行
地震灾害监测员,Proposes,0.18,我需要无人机能够自主导航并按照预设的路径进行地震监测和数据采集。
电力维修工程师,Proposes,0.05,我希望无人机能够自主导航并按照预设的路径巡检输电线路和设备
城市交通管理者,Proposes,0.33,我需要无人机能够自主导航并根据预设的路况信息进行交通监测和拥堵疏导工作。
城市交通管理者,Proposes,0.41,我希望能够远程遥控无人机的飞行和交通监测功能
电力巡查员,Proposes,0.05,我希望无人机能够自主导航并按照预设的巡检路线飞行
航空器维护员,Proposes,0.97,我需要无人机能够自主导航并根据预设的巡检路线进行航空器的检修和维护工作。
航空器维护员,Proposes,0.43,我需要能够远程遥控无人机的飞行和航空器维修功能
航空器维护员,Proposes,0.35,我希望能够远程遥控无人机的飞行和航空器维修功能
我希望无人机能够高空飞行,RelatedTo,0.02,高空飞行
我希望无人机能够高空飞行,Achieves,0.1,高空飞行
我需要无人机能够在复杂的电力线路中飞行,RelatedTo,0.11,复杂线路飞行
我需要无人机能够在复杂的电力线路中飞行,RelatedTo,0.36,避障能力
我需要无人机能够在复杂的电力线路中飞行,Achieves,0.68,复杂线路飞行
