Subject,Predicate,Fuzzy,Object
我需要无人机能够在复杂的电力线路中飞行,Achieves,0.04,避障能力
我希望无人机能够高空飞行，并具备高清摄像功能,RelatedTo,0.04,高空飞行
我希望无人机能够高空飞行，并具备高清摄像功能,RelatedTo,0.87,高清摄像
我希望无人机能够高空飞行，并具备高清摄像功能,Achieves,0.99,高空飞行
我希望无人机能够高空飞行，并具备高清摄像功能,Achieves,0.06,高清摄像
我希望无人机具备长飞行时间和稳定的飞行控制,RelatedTo,0.88,长续航
我希望无人机具备长飞行时间和稳定的飞行控制,RelatedTo,0.02,稳定飞行控制
我希望无人机具备长飞行时间和稳定的飞行控制,Achieves,0.81,长续航
我希望无人机具备长飞行时间和稳定的飞行控制,Achieves,0.33,稳定飞行控制
我需要无人机具备高精度定位和悬停能力,RelatedTo,0.69,高精度定位
我需要无人机具备高精度定位和悬停能力,RelatedTo,0.51,悬停能力
我需要无人机具备高精度定位和悬停能力,Achieves,0.01,高精度定位
我需要无人机具备高精度定位和悬停能力,Achieves,0.23,悬停能力
我希望无人机能够在恶劣环境下飞行,RelatedTo,0.69,耐高温低温
我希望无人机能够在恶劣环境下飞行,RelatedTo,0.99,抗风雨能力
我希望无人机能够在恶劣环境下飞行,Achieves,0.62,耐高温低温
我希望无人机能够在恶劣环境下飞行,Achieves,0.04,抗风雨能力
我需要无人机具备高空飞行和高分辨率摄像功能,RelatedTo,0.52,高分辨率摄像
我需要无人机具备高空飞行和高分辨率摄像功能,RelatedTo,0.44,高空飞行
我需要无人机具备高空飞行和高分辨率摄像功能,Achieves,0.01,高分辨率摄像
我需要无人机具备高空飞行和高分辨率摄像功能,Achieves,0.1,高空飞行
我希望无人机能够进行精确的测量和制图工作,RelatedTo,0.21,精确测量
我希望无人机能够进行精确的测量和制图工作,RelatedTo,0.39,制图功能
我希望无人机能够进行精确的测量和制图工作,Achieves,0.37,精确测量
我希望无人机能够进行精确的测量和制图工作,Achieves,0.41,制图功能
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.74,我希望无人机能够搭载专业摄像设备
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.93,我希望无人机能够在海洋环境中飞行
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.66,我需要无人机具备防水功能
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.28,我希望无人机能够支持实时监控
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.53,我希望无人机具备长时间巡航能力
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.57,我需要无人机能够检测环境污染
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.05,我希望无人机能够进行夜间飞行
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.92,我需要无人机具备障碍物避让功能
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.2,我希望无人机能够在复杂地形中飞行
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.3,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.36,快速起飞
我需要无人机能够快速起飞和高空巡航,RelatedTo,0.84,高空巡航
我需要无人机能够快速起飞和高空巡航,Achieves,0.13,快速起飞
我需要无人机能够快速起飞和高空巡航,Achieves,0.27,高空巡航
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.54,我希望无人机能够搭载专业摄像设备
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.17,我希望无人机能够在海洋环境中飞行
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.46,我需要无人机具备防水功能
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.41,我希望无人机能够支持实时监控
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,1,我希望无人机具备长时间巡航能力
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.99,我需要无人机能够检测环境污染
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.08,我希望无人机能够进行夜间飞行
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.47,我需要无人机具备障碍物避让功能
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.14,我希望无人机能够在复杂地形中飞行
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.66,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.2,高空飞行
我希望无人机能够高空飞行，并搭载实时直播摄像功能,RelatedTo,0.19,实时直播摄像
我希望无人机能够高空飞行，并搭载实时直播摄像功能,Achieves,0.1,高空飞行
我希望无人机能够高空飞行，并搭载实时直播摄像功能,Achieves,0.72,实时直播摄像
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.39,我希望无人机能够搭载专业摄像设备
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.67,我希望无人机能够在海洋环境中飞行
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.9,我需要无人机具备防水功能
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.31,我希望无人机能够支持实时监控
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.32,我希望无人机具备长时间巡航能力
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.65,我需要无人机能够检测环境污染
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.14,我希望无人机能够进行夜间飞行
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.28,我需要无人机具备障碍物避让功能
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.31,我希望无人机能够在复杂地形中飞行
我需要无人机具备远程控制和自主飞行能力,RelatedTo,0.06,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.93,我希望无人机能够搭载专业摄像设备
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.8,我希望无人机能够在海洋环境中飞行
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.72,我需要无人机具备防水功能
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.17,我希望无人机能够支持实时监控
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.86,我希望无人机具备长时间巡航能力
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.62,我需要无人机能够检测环境污染
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.77,我希望无人机能够进行夜间飞行
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.99,我需要无人机具备障碍物避让功能
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.48,我希望无人机能够在复杂地形中飞行
我希望无人机能够高空飞行并具备空气采样功能,RelatedTo,0.15,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.03,我希望无人机能够搭载专业摄像设备
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.27,我希望无人机能够在海洋环境中飞行
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.97,我需要无人机具备防水功能
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.43,我希望无人机能够支持实时监控
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.31,我希望无人机具备长时间巡航能力
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.36,我需要无人机能够检测环境污染
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.68,我希望无人机能够进行夜间飞行
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.96,我需要无人机具备障碍物避让功能
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.74,我希望无人机能够在复杂地形中飞行
我需要无人机能够低空飞行并具备热成像摄像功能,RelatedTo,0.76,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.7,我希望无人机能够搭载专业摄像设备
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.05,我希望无人机能够在海洋环境中飞行
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.57,我需要无人机具备防水功能
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.18,我希望无人机能够支持实时监控
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.73,我希望无人机具备长时间巡航能力
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.64,我需要无人机能够检测环境污染
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.31,我希望无人机能够进行夜间飞行
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.6,我需要无人机具备障碍物避让功能
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.31,我希望无人机能够在复杂地形中飞行
我希望无人机能够在海面上飞行，并具备水下摄像功能,RelatedTo,0.15,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.47,我希望无人机能够搭载专业摄像设备
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.63,我希望无人机能够在海洋环境中飞行
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.8,我需要无人机具备防水功能
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.77,我希望无人机能够支持实时监控
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.4,我希望无人机具备长时间巡航能力
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.88,我需要无人机能够检测环境污染
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.15,我希望无人机能够进行夜间飞行
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.12,我需要无人机具备障碍物避让功能
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0,我希望无人机能够在复杂地形中飞行
我需要无人机能够高空飞行并具备气象传感器,RelatedTo,0.29,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.69,我希望无人机能够搭载专业摄像设备
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.78,我希望无人机能够在海洋环境中飞行
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.49,我需要无人机具备防水功能
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.61,我希望无人机能够支持实时监控
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.56,我希望无人机具备长时间巡航能力
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.68,我需要无人机能够检测环境污染
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.36,我希望无人机能够进行夜间飞行
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.68,我需要无人机具备障碍物避让功能
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.02,我希望无人机能够在复杂地形中飞行
我希望无人机能够高空飞行并具备三维建模功能,RelatedTo,0.3,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.77,我希望无人机能够搭载专业摄像设备
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.67,我希望无人机能够在海洋环境中飞行
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.89,我需要无人机具备防水功能
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.3,我希望无人机能够支持实时监控
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.72,我希望无人机具备长时间巡航能力
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.97,我需要无人机能够检测环境污染
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0,我希望无人机能够进行夜间飞行
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.88,我需要无人机具备障碍物避让功能
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.75,我希望无人机能够在复杂地形中飞行
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,RelatedTo,0.08,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,Achieves,0.21,飞越树冠
我希望无人机能够飞越茂密的树冠，并具备红外线摄像功能,Achieves,0.66,红外线摄像
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.13,我希望无人机能够搭载专业摄像设备
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.89,我希望无人机能够在海洋环境中飞行
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.33,我需要无人机具备防水功能
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.32,我希望无人机能够支持实时监控
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.61,我希望无人机具备长时间巡航能力
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.59,我需要无人机能够检测环境污染
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.65,我希望无人机能够进行夜间飞行
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.35,我需要无人机具备障碍物避让功能
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.18,我希望无人机能够在复杂地形中飞行
我需要无人机具备高度保持和稳定飞行的能力,RelatedTo,0.76,我需要无人机能够在恶劣气候条件下运行
我需要无人机具备高度保持和稳定飞行的能力,Achieves,0.68,高度保持
我需要无人机具备高度保持和稳定飞行的能力,Achieves,0.88,稳定飞行
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.75,我希望无人机能够搭载专业摄像设备
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.04,我希望无人机能够在海洋环境中飞行
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.08,我需要无人机具备防水功能
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.23,我希望无人机能够支持实时监控
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.89,我希望无人机具备长时间巡航能力
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.29,我需要无人机能够检测环境污染
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.44,我希望无人机能够进行夜间飞行
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.66,我需要无人机具备障碍物避让功能
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.61,我希望无人机能够在复杂地形中飞行
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,RelatedTo,0.09,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,Achieves,0.55,高清摄像
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,Achieves,0.18,海洋上空飞行
我希望无人机能够在海洋上空飞行，并具备高清摄像和声纳探测功能,Achieves,0.68,声纳探测
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.93,我希望无人机能够搭载专业摄像设备
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.9,我希望无人机能够在海洋环境中飞行
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.63,我需要无人机具备防水功能
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.92,我希望无人机能够支持实时监控
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.75,我希望无人机具备长时间巡航能力
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.66,我需要无人机能够检测环境污染
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.9,我希望无人机能够进行夜间飞行
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.3,我需要无人机具备障碍物避让功能
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.39,我希望无人机能够在复杂地形中飞行
我需要无人机能够在污染区域飞行，并搭载空气采样器,RelatedTo,0.94,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够在污染区域飞行，并搭载空气采样器,Achieves,0.55,污染区域飞行
我需要无人机能够在污染区域飞行，并搭载空气采样器,Achieves,0.39,空气采样器
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.69,我希望无人机能够搭载专业摄像设备
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.27,我希望无人机能够在海洋环境中飞行
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.38,我需要无人机具备防水功能
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.54,我希望无人机能够支持实时监控
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.09,我希望无人机具备长时间巡航能力
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.74,我需要无人机能够检测环境污染
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.87,我希望无人机能够进行夜间飞行
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.78,我需要无人机具备障碍物避让功能
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.64,我希望无人机能够在复杂地形中飞行
我希望无人机能够进行地质勘探的快速测量，并通过激光雷达获取地质构造的高精度三维模型。,RelatedTo,0.53,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.55,我希望无人机能够搭载专业摄像设备
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.68,我希望无人机能够在海洋环境中飞行
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.75,我需要无人机具备防水功能
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.19,我希望无人机能够支持实时监控
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.83,我希望无人机具备长时间巡航能力
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.97,我需要无人机能够检测环境污染
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.62,我希望无人机能够进行夜间飞行
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.99,我需要无人机具备障碍物避让功能
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.64,我希望无人机能够在复杂地形中飞行
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,RelatedTo,0.48,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,Achieves,0.54,空中摄影测量
我需要无人机能够进行空中摄影测量，并生成城市地貌和建筑物的高精度三维模型,Achieves,0.36,城市三维建模
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.24,我希望无人机能够搭载专业摄像设备
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.99,我希望无人机能够在海洋环境中飞行
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.33,我需要无人机具备防水功能
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.2,我希望无人机能够支持实时监控
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.47,我希望无人机具备长时间巡航能力
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.15,我需要无人机能够检测环境污染
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.79,我希望无人机能够进行夜间飞行
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.06,我需要无人机具备障碍物避让功能
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.88,我希望无人机能够在复杂地形中飞行
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,RelatedTo,0.41,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,Achieves,0.82,巡航监控
我希望无人机能够巡航并监控重要场所，具备夜视摄像功能,Achieves,0.14,夜视摄像
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.94,我希望无人机能够搭载专业摄像设备
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.93,我希望无人机能够在海洋环境中飞行
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.59,我需要无人机具备防水功能
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.77,我希望无人机能够支持实时监控
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.22,我希望无人机具备长时间巡航能力
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.76,我需要无人机能够检测环境污染
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.95,我希望无人机能够进行夜间飞行
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.11,我需要无人机具备障碍物避让功能
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.39,我希望无人机能够在复杂地形中飞行
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,RelatedTo,0.75,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,Achieves,0.87,低空飞行
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,Achieves,0.61,作物识别
我需要无人机能够低空飞行，并具备作物识别和成长监测功能,Achieves,0.36,成长监测
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.87,我希望无人机能够搭载专业摄像设备
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.96,我希望无人机能够在海洋环境中飞行
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.43,我需要无人机具备防水功能
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.48,我希望无人机能够支持实时监控
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.34,我希望无人机具备长时间巡航能力
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.95,我需要无人机能够检测环境污染
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.92,我希望无人机能够进行夜间飞行
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.86,我需要无人机具备障碍物避让功能
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.97,我希望无人机能够在复杂地形中飞行
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,RelatedTo,0.99,我需要无人机能够在恶劣气候条件下运行
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,Achieves,0.41,飞越高压输电线路
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,Achieves,0.26,红外热成像仪
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.4,我希望无人机能够搭载专业摄像设备
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.75,我希望无人机能够在海洋环境中飞行
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.19,我需要无人机具备防水功能
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.52,我希望无人机能够支持实时监控
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.83,我希望无人机具备长时间巡航能力
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.84,我需要无人机能够检测环境污染
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.17,我希望无人机能够进行夜间飞行
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.33,我需要无人机具备障碍物避让功能
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.55,我希望无人机能够在复杂地形中飞行
我需要无人机能够在海上飞行，并具备油污检测功能,RelatedTo,0.09,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够在海上飞行，并具备油污检测功能,Achieves,0.12,海上飞行
我需要无人机能够在海上飞行，并具备油污检测功能,Achieves,0.14,油污检测
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.5,我希望无人机能够搭载专业摄像设备
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.85,我希望无人机能够在海洋环境中飞行
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.24,我需要无人机具备防水功能
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.56,我希望无人机能够支持实时监控
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.57,我希望无人机具备长时间巡航能力
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.46,我需要无人机能够检测环境污染
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.79,我希望无人机能够进行夜间飞行
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.48,我需要无人机具备障碍物避让功能
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.06,我希望无人机能够在复杂地形中飞行
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,RelatedTo,0.37,我需要无人机能够在恶劣气候条件下运行
我需要无人机能够在水域上飞行，并具备水质监测仪器,RelatedTo,0.6,我希望无人机能够搭载专业摄像设备
我需要无人机能够在水域上飞行，并具备水质监测仪器,RelatedTo,0.78,我希望无人机能够在海洋环境中飞行
我需要无人机能够在水域上飞行，并具备水质监测仪器,RelatedTo,0.02,我需要无人机具备防水功能
我需要无人机能够在水域上飞行，并具备水质监测仪器,RelatedTo,0.7,我希望无人机能够支持实时监控
我需要无人机能够在水域上飞行，并具备水质监测仪器,RelatedTo,0.6,我希望无人机具备长时间巡航能力
我需要无人机能够在水域上飞行，并具备水质监测仪器,RelatedTo,0.33,我需要无人机能够检测环境污染
